COMMON	ATG9A	BECN1	CUL4A	DDB1	DDB2	ERCC2	ERCC3	ERCC4	ERCC5	PIK3C3	PRKDC	XPA	XPC	XRCC5	XRCC6
TCGA-EB-A5UM-01	-0.6857	-0.2271	-0.6013	-0.5302	1.4917	0.0395	1.5506	-0.8574	0.2645	-0.2375	-1.4795	-0.9906	-0.4168	-0.8101	2.5011
TCGA-ER-A42K-06	-0.5942	-0.1953	-0.6657	-0.1138	-0.9963	-1.1841	0.1761	0.3174	-0.3415	0.9493	0.2516	0.4667	0.1129	0.4158	-0.4299
TCGA-D3-A3MR-06	-0.6814	-0.6703	-2.1828	-1.1458	0.9427	-0.8084	-1.9385	-1.5546	-0.1383	-1.3269	-1.6112	-0.6835	-0.1391	-1.5394	-1.7035
TCGA-W3-AA1O-06	-1.2020	1.0339	-0.3011	-0.4485	-0.8234	-0.1434	0.1598	2.0767	0.5646	-0.8428	-0.5634	0.0812	-0.8359	-0.6714	-0.4631
TCGA-W3-A825-06	-0.5059	-0.7286	-0.7544	0.1127	-0.1032	-0.7344	0.0267	-1.1181	0.3508	-0.4576	1.0506	-0.5176	0.0215	0.3835	-0.4019
TCGA-WE-A8K1-06	-0.8477	1.9081	0.4281	-1.2093	0.8331	0.5438	0.3534	0.2579	-0.0359	-1.0362	-0.2241	0.1032	1.6702	-0.9766	-0.5285
TCGA-FS-A1ZJ-06	0.5365	-1.4746	-1.4865	0.1887	-1.5377	0.0257	1.0616	-0.5335	-2.0970	-0.1975	0.4646	-0.0730	0.0446	0.2670	-1.9177
TCGA-EB-A3XF-01	0.7214	1.1864	-0.1658	-0.4907	-0.3579	0.0541	2.1974	-1.0338	-0.2355	0.2954	0.6228	-0.8342	0.0006	3.7827	0.4732
TCGA-D3-A8GD-06	-0.2979	0.0734	0.3436	-1.3047	-0.2468	-0.0421	0.2438	-1.0300	1.0818	-1.1410	-1.1218	0.4812	0.9120	-1.2856	-0.5280
TCGA-EB-A3XD-01	1.6942	0.6576	-1.4431	0.4645	0.6355	0.0031	-0.3457	-1.5283	-0.4287	-1.0291	-0.7158	-0.5131	-0.3933	-0.0569	2.1321
TCGA-DA-A1IB-06	-1.1898	-0.5753	-0.5376	-0.9748	-0.0433	-0.8269	-0.9702	-0.1963	1.2547	-0.6940	-0.8973	0.1579	0.1642	-0.6460	0.5049
TCGA-D9-A4Z5-01	0.5547	-1.3376	0.3672	0.3814	0.8096	-0.2663	-0.0394	-0.6167	-0.3295	0.1013	0.5623	0.1323	0.5798	-1.4245	3.1985
TCGA-GN-A26A-06	-0.6508	0.8521	0.1591	-1.2608	-0.9479	-1.4697	1.0581	-0.1981	-0.5701	3.0283	0.7626	-0.9522	-0.5393	-0.2789	0.5275
TCGA-ER-A199-06	-0.3201	-0.2496	1.1106	-0.2992	-1.2823	0.7248	0.0061	0.0710	1.0896	0.6376	-0.3485	-0.8136	-0.4191	1.2798	0.2102
TCGA-EE-A2ML-06	0.1244	2.1325	0.5888	0.9537	-0.5424	-0.4862	-0.1808	0.6700	0.1443	0.8677	-0.0151	-1.4011	0.0085	-0.5356	-1.2780
TCGA-EE-A29A-06	-0.1559	0.4541	0.8954	-0.4552	-0.0184	-1.0983	1.1592	1.2289	0.7440	-0.6333	0.8468	-0.0726	0.6303	-0.0035	-0.3342
TCGA-ER-A19J-06	-0.1628	-0.5430	-0.5415	-0.5382	-0.0031	0.2927	-0.7525	-0.0031	-0.2878	-0.1833	7.0806	-1.3483	1.2757	-0.3578	-1.0074
TCGA-EB-A24D-01	-0.1821	-0.3736	4.0311	-0.1931	-0.9406	-0.5480	-0.7672	-0.4050	1.9971	1.1813	2.5049	1.1088	4.0519	-1.5707	0.6987
TCGA-EE-A2MP-06	-0.7593	0.9805	-0.8570	-0.4277	-0.1092	-0.4630	0.9375	0.1641	-0.0792	0.2692	-0.6883	-0.0594	0.4385	0.3279	-0.1133
TCGA-EB-A550-01	-0.2111	0.3200	-0.0194	-0.6485	0.3883	-0.7763	-0.2969	-0.5870	0.6840	-0.7128	-0.7172	0.4304	-1.2464	0.0188	-0.6306
TCGA-D3-A2JN-06	0.4002	-0.7172	-0.9338	-1.3354	-0.2585	-0.9744	-0.7351	-0.7664	0.4784	-1.2465	-0.2071	1.2082	-1.1515	-0.1285	-1.4546
TCGA-BF-AAP1-01	-1.0723	0.1336	1.3379	-1.0159	-0.5486	0.0077	-0.0982	2.3068	0.9028	0.9293	-1.4825	0.8897	0.5955	-1.4947	0.9675
TCGA-W3-AA1R-06	-0.4043	0.5237	1.7345	-0.5738	-1.2599	0.6621	1.2677	-0.1270	0.1995	-0.3659	-1.0336	-0.9196	-0.4506	0.3596	1.9129
TCGA-WE-A8K6-06	-0.4674	-0.5909	0.7133	-0.0510	0.0883	-0.8525	0.4216	0.1582	-0.2613	1.2991	-0.9344	-0.1595	1.8306	-0.9234	-0.2047
TCGA-EE-A2GI-06	-0.0260	0.1823	-0.9117	0.4810	-0.6756	-0.4861	1.9174	-0.2911	-0.4338	0.1114	0.1641	-0.2400	0.8056	1.5643	2.4369
TCGA-GN-A4U7-06	-0.3640	-0.3077	-1.6545	0.1108	-0.3934	-0.0774	0.5377	-1.6757	-2.1111	-0.7557	-1.0228	-1.1556	-1.1315	0.0428	3.9719
TCGA-D3-A8GV-06	1.6354	0.1790	-1.7985	-0.1972	0.6520	-0.1916	0.4854	-0.7686	-1.5450	1.3644	0.0136	-0.8693	-0.9056	-0.2621	1.7192
TCGA-EE-A2MR-06	-0.0442	-0.9488	-0.9984	-0.5841	-1.1776	-0.5328	0.7718	0.7776	-0.0132	-0.9845	1.5590	0.2606	-0.4808	0.4986	0.7860
TCGA-D3-A2JF-06	-1.0638	-1.4590	-0.7758	-0.6979	0.3565	-0.9786	-0.5258	-1.3675	1.6668	-0.8821	-1.6765	2.1521	0.0829	-1.0071	-2.1844
TCGA-W3-AA1W-06	-0.9130	-0.0385	-0.8652	-0.5783	0.0205	-0.0820	-0.3174	0.1797	0.3707	0.0158	-1.1137	-0.0630	1.2460	-0.8882	-1.0775
TCGA-EB-A3XB-01	-0.2736	1.0790	-1.4674	-0.7569	-0.5998	-1.1453	-0.2280	-0.1695	-0.9034	0.9845	0.3848	-1.3119	0.5463	-0.9928	0.0359
TCGA-EE-A17Z-06	0.5658	-1.5581	-0.1878	0.8842	-0.3489	1.8823	-1.0468	-0.2431	-0.7486	0.4624	3.2488	-1.0770	0.1343	3.7671	5.9118
TCGA-WE-AAA4-06	2.1053	-0.0653	-1.5648	0.4892	-0.0942	1.5367	-1.0437	-1.7269	-1.8547	-1.3750	-1.5748	-2.0382	-1.4010	-0.7693	2.3263
TCGA-FS-A1ZZ-06	-0.3245	0.6992	0.5622	0.7772	-0.8644	0.5299	0.1258	0.9179	0.1323	-0.5187	-1.1652	-1.5240	9.0117	-0.5506	-0.5290
TCGA-EB-A4P0-01	0.0787	0.9068	0.2321	-0.7360	-0.9771	-0.4065	-0.3629	-0.7748	0.7923	-0.8381	-1.3116	-0.5532	2.5027	-1.1364	-0.7968
TCGA-EE-A2MT-06	-0.3706	-0.7614	0.7659	-0.4123	1.5042	-1.2223	0.6035	-0.3640	2.1996	-0.4080	0.3081	-0.4702	-0.8847	-0.1944	0.1306
TCGA-ER-A198-06	-0.3519	-0.4989	0.8984	0.4207	0.8461	-0.1513	-2.5121	0.1700	-0.8466	0.7645	0.9370	-0.0718	0.9580	0.6783	-0.5340
TCGA-W3-AA1Q-06	-0.0709	0.2421	-0.4679	-0.3544	-0.9326	0.2866	-1.2183	-0.1292	-0.4734	0.0143	-0.7107	-0.7515	-0.3514	-0.1245	-1.2500
TCGA-D3-A3C6-06	-0.7301	0.5672	0.5091	-0.2096	-0.0818	0.7653	-1.2711	0.4757	-0.0438	-0.5121	1.8224	-0.5709	-1.1087	-0.6546	1.5587
TCGA-D3-A5GT-01	-1.7037	-1.2918	-0.0709	-0.9716	-0.2422	-0.2955	-1.6597	0.0314	0.2673	-0.5637	-0.3163	-0.1388	-0.3121	-1.7047	-0.3002
TCGA-BF-A1PU-01	2.5186	1.8341	-0.4359	1.5408	2.2485	1.4938	0.9687	-0.2242	-1.0343	-0.1390	0.0620	-0.3632	1.4108	1.8712	8.5813
TCGA-FS-A1ZD-06	-0.7854	-0.5041	-0.7242	-0.4034	0.8393	-1.3649	1.5885	0.2576	-0.1271	-0.4857	0.6561	2.3864	0.5278	1.0186	-0.3968
TCGA-D9-A4Z3-01	0.0418	-0.8289	4.5855	-0.2013	-0.6124	0.4742	1.0187	-0.9124	1.5625	0.0682	2.6725	-0.9252	-1.1920	0.2874	-0.2660
TCGA-FS-A4FC-06	0.7220	1.0308	0.0478	0.2175	1.3960	-0.1581	0.5161	-0.2849	-0.2393	-0.2321	-0.3651	-0.8827	0.4159	0.4938	-1.3183
TCGA-EE-A2M6-06	-0.1874	-0.8286	0.7923	-0.3434	-1.2059	-0.4376	1.1187	0.0525	-1.2823	0.0615	3.8798	-0.9994	-1.4803	3.7632	5.9006
TCGA-EB-A5VU-01	-0.1261	1.3364	-0.5987	-1.0067	-0.9931	-0.0212	1.7214	1.7881	-0.5608	0.6675	0.5340	-0.4436	-0.1355	-0.0292	1.1153
TCGA-D9-A4Z2-01	0.2178	0.9454	4.6030	-0.1292	0.8906	-0.7605	1.2649	-0.5342	3.1564	2.5428	1.5989	-0.5060	0.9836	-0.1248	0.5130
TCGA-GN-A8LL-06	4.3531	-0.8693	-0.8127	6.1447	3.0508	3.1193	-1.2530	-1.7142	-1.4334	-1.5121	-1.0584	-1.4659	1.9470	-1.7953	3.2020
TCGA-W3-A824-06	-0.2237	-0.1504	0.9699	-0.6237	2.4779	-0.4934	-1.0862	-1.3463	0.5664	-0.3103	-0.5811	0.0348	-0.0116	-0.2986	-0.4583
TCGA-FS-A1ZT-06	-0.3586	-1.5219	1.7015	-1.0887	-1.1513	-0.4032	0.9479	1.1324	0.3843	2.6585	3.8252	-0.4381	0.1918	0.4145	1.0259
TCGA-EB-A551-01	-0.2720	-0.2844	0.2072	-0.7932	2.2972	-1.2127	0.1481	0.4538	0.7572	-0.1841	-1.1220	-0.4471	0.5700	0.4761	0.5326
TCGA-EE-A3AA-06	-0.4220	-0.9628	1.4925	-0.4987	-0.8497	-0.8114	-0.7559	0.7377	1.4850	-0.7081	0.9771	-0.7450	-0.9367	-0.7699	1.3798
TCGA-BF-A3DL-01	0.0693	-1.0009	-0.8499	0.4608	-1.4646	1.1766	-0.9004	-1.5110	-0.3457	-0.1867	-1.1336	-1.3551	-1.4937	-1.2660	1.5050
TCGA-FS-A1YY-06	-0.6493	0.1395	1.1613	3.1316	0.3382	1.1748	-1.8666	0.3739	0.4705	1.0074	0.8265	-0.9218	0.6199	-1.3253	-2.0845
TCGA-DA-A1I2-06	1.2750	-1.0530	-1.2818	-0.4101	-0.6722	0.0482	-1.6957	-0.3234	-0.5088	-0.6351	0.7098	0.5802	-0.5375	-0.3604	-2.0776
TCGA-EB-A5UN-06	-1.2513	0.6824	-1.1242	0.3378	1.1150	-0.5014	0.3124	1.5152	-1.2794	-1.1023	-0.0757	-0.9219	0.7552	-0.6306	-1.5253
TCGA-WE-A8K5-06	-0.4584	-0.2338	0.0875	-0.6655	0.8940	-0.3465	0.2459	-1.2269	-0.5704	-0.9982	-1.0434	1.9395	1.6519	0.0084	0.1695
TCGA-D3-A2JH-06	-0.5586	-0.8074	0.2843	-0.6742	0.7042	-0.0400	-0.0518	-0.8744	-0.2490	0.0084	-0.1513	1.1938	1.2564	0.3560	-0.6098
TCGA-ER-A3ET-06	0.1845	-0.2174	0.2617	-0.2869	-1.4382	-0.3376	-1.0851	-0.5420	-0.4947	-0.8669	1.2809	-1.0565	-1.1224	0.4729	1.3397
TCGA-EE-A184-06	-0.3204	1.3428	7.6825	-0.2148	0.1283	0.4725	-0.2452	0.1615	-1.8502	-0.5928	-0.1137	-1.2634	0.5705	-0.8031	2.5494
TCGA-BF-A1Q0-01	0.4309	0.4163	-0.7892	0.3790	-0.6995	-0.7357	-0.8292	0.0165	-1.1360	-0.8329	1.3404	0.6483	-0.5711	-0.0028	-0.8313
TCGA-FR-A7U8-06	-0.0877	-0.6271	4.4129	0.2391	0.4274	1.7664	0.7162	-0.2449	0.6611	0.2669	0.7300	2.5911	-0.2311	1.2328	3.8216
TCGA-ER-A19L-06	-0.3490	-0.3011	2.7736	2.0013	0.2458	-0.3238	-0.0747	0.2014	3.0654	3.4266	2.7518	0.3854	0.0233	-0.1187	0.9793
TCGA-ER-A3PL-06	-0.9416	0.1440	0.8014	-1.0062	-0.7649	-0.6635	-0.1688	0.2662	1.1590	1.0764	-0.9379	-0.4932	0.8693	-0.7882	-0.5203
TCGA-ER-A19M-06	-1.2632	0.9291	1.2785	0.0565	1.1089	-0.9730	-0.9928	1.1390	1.5721	0.9680	1.2335	-0.5944	-0.9882	-0.0384	1.9838
TCGA-ER-A19P-06	-1.2744	-0.3919	-0.4938	-0.8700	-0.2923	-0.4403	-1.1034	1.7810	1.0462	0.0431	-0.5271	0.4404	0.1409	-1.2433	-1.2995
TCGA-3N-A9WC-06	-0.1262	-0.9386	-0.4215	-1.1097	-0.8460	0.2671	0.1115	0.3555	-0.6129	-0.5083	-1.2150	0.4360	1.9379	-0.4346	-0.3413
TCGA-FS-A1YW-06	-0.8832	1.8198	1.7444	-0.3918	-1.1862	1.7428	-1.8616	1.1889	2.5013	0.4784	-0.0234	0.5916	-0.2024	-2.1732	-2.7705
TCGA-EE-A29R-06	-0.0098	0.2746	4.3317	-0.9800	-1.2862	-0.2360	0.0720	-0.4164	3.8707	1.0347	0.1188	-0.4397	-0.4297	0.3587	0.2968
TCGA-EB-A431-01	-0.7937	1.3824	-1.9613	0.4386	-1.3217	-0.8178	-0.5270	1.8649	-1.9040	-0.2098	1.1058	-0.2433	-1.1188	-0.6682	5.5314
TCGA-YD-A89C-06	-0.3835	-1.5256	1.4185	-0.1586	-1.3596	0.2248	3.0550	-1.3848	0.1610	-0.1824	-0.3918	1.1920	-0.4253	2.9741	3.3458
TCGA-FR-A7U9-06	-0.1605	-0.6528	-2.1268	-0.6627	-0.4623	-0.0296	-0.5254	-0.8533	-1.3489	-0.6228	-0.3725	0.7876	-1.3232	-0.2447	1.1795
TCGA-QB-A6FS-06	1.3879	-0.6903	-1.5590	0.6684	2.2546	2.6770	-0.7626	-1.9023	-1.3165	-1.3843	-0.4597	-1.8865	-0.8786	-1.2984	6.0545
TCGA-EE-A29T-06	-0.2047	1.8100	-2.2363	-0.8270	-0.4402	0.6125	0.1862	0.4426	-1.2190	-0.1602	1.1857	-0.6457	2.8313	1.5045	-0.2144
TCGA-GN-A4U5-01	0.2285	1.5652	-0.5348	-0.0478	-0.2234	0.6260	0.4586	-0.2025	-0.0573	-0.0931	-0.7004	0.7105	0.5747	0.1413	-0.1712
TCGA-FS-A1ZM-06	-0.1088	0.8396	-0.3068	-0.7648	-0.1601	-0.3612	1.0838	0.0199	-0.4751	-0.8023	0.2520	-1.3114	-0.9364	-0.3737	0.6208
TCGA-EB-A44R-06	0.1239	-0.4887	2.2488	-1.1237	-1.0666	0.2579	1.0686	-0.9217	0.6572	-0.2302	1.1951	-0.0408	-0.7492	-0.4153	-1.2628
TCGA-DA-A1HY-06	-0.7492	1.0834	0.1414	-0.1986	-0.2712	-1.5348	0.4058	0.8911	1.2794	1.5643	0.2351	1.2091	0.4503	0.2404	-0.8139
TCGA-FR-A69P-06	-0.8308	-0.6047	3.4845	-0.6804	-1.3990	0.4485	0.3097	1.2977	0.9435	-0.1410	0.3614	-0.9494	-0.0455	0.7672	1.2801
TCGA-EE-A185-06	0.5722	-0.7097	1.7212	1.0392	0.0015	1.6977	0.0990	-0.1144	-0.6408	0.4447	1.2071	-1.3868	-0.2189	-0.4415	0.2825
TCGA-GN-A268-06	0.5870	0.2076	4.6721	0.6335	0.0200	-0.2979	1.8373	-0.2578	0.0553	0.2889	2.1021	-1.4383	-0.9564	0.9774	2.2144
TCGA-ER-A2NC-06	-0.1775	-0.7577	-0.8847	-0.4962	-0.3834	0.0617	-0.0125	-0.1156	-0.1772	-0.7018	0.7259	0.9551	0.4785	1.0557	-0.3783
TCGA-EE-A2GO-06	-1.0366	-0.3346	-0.1746	-0.6868	0.5309	-1.1856	0.4213	0.6545	0.5508	0.9768	0.6386	0.1831	0.8063	-0.0049	1.6485
TCGA-GN-A26D-06	-0.2797	-1.2671	-1.2192	0.3255	-0.3640	-0.6380	-1.2902	0.0223	-1.3101	2.2746	0.5910	-1.1606	-0.7517	-1.3554	0.7033
TCGA-EE-A183-06	1.3977	-1.0488	-0.1654	1.0235	0.3577	1.2923	-0.5336	-1.1590	-1.0700	-1.6041	-0.9425	-1.6074	0.7410	-0.7803	0.8535
TCGA-EE-A29X-06	1.9945	-0.9964	-0.5270	2.7901	-1.2044	0.0281	2.5758	-1.5967	-0.6865	-0.8285	1.5094	-1.9568	1.0824	1.4206	1.9540
TCGA-D3-A1Q8-06	-0.0792	0.2777	-1.5648	-1.0419	0.4722	0.2322	0.5720	0.9679	-1.3291	0.9746	0.5937	-0.8061	0.2125	0.8244	-1.8537
TCGA-D3-A5GU-06	-0.2474	-0.4594	0.8400	-0.8683	-1.0085	-0.7670	0.4922	-0.7224	0.7364	-0.7069	-0.2796	-0.8650	-0.7672	-0.7950	-0.5017
TCGA-LH-A9QB-06	0.0085	0.7508	-0.1182	-0.4645	-1.0769	-1.2063	0.7517	0.0952	-0.1135	0.0496	-0.3720	2.4455	-0.4065	-0.3265	-0.5528
TCGA-BF-A1PV-01	0.1874	-0.9430	0.8991	0.0381	-0.2525	1.7199	-0.8229	-0.0994	-0.0867	1.2048	2.1543	-0.9274	0.1111	0.3308	-0.2579
TCGA-EB-A42Y-01	-0.0057	-0.0969	0.0420	-0.4181	-0.4234	-0.9889	0.5371	-0.7371	-0.8282	-0.1275	1.8401	-0.3899	-0.2120	1.3648	-0.1983
TCGA-EE-A181-06	0.1305	0.3486	-1.2623	-0.6776	-1.2044	-0.1924	-1.2163	0.8139	-1.1534	-0.1935	2.3098	-0.3632	-0.8060	0.0554	-0.4363
TCGA-ER-A42L-06	-0.7503	-0.3385	-0.7168	-0.0077	0.3490	-0.5856	0.3263	0.1132	-0.0435	0.1574	-0.6967	-0.0568	-0.6303	-0.8515	-0.1517
TCGA-EE-A3JA-06	-1.2338	1.3794	1.5023	1.8974	0.5137	-1.3019	-0.7772	-0.3166	1.8257	0.0960	0.4641	-0.1429	1.3398	0.4106	-0.7349
TCGA-ER-A3EV-06	1.2284	-1.4383	0.1235	-0.1129	-0.6522	-0.0024	-0.3161	0.2092	-0.7163	-0.5189	0.5982	-1.3665	-0.6960	4.2622	5.2771
TCGA-ER-A19H-06	-0.4282	-0.5292	-0.4224	0.1141	0.6868	0.9392	1.6189	-0.3507	-1.0543	-0.4915	3.4068	-0.4653	-0.3976	0.9457	-1.0727
TCGA-ER-A19G-06	0.1750	-0.4222	-0.3573	-0.6760	0.4862	-0.9824	-0.4300	-0.5497	-0.9087	1.0741	1.2798	0.8251	0.5083	1.1019	1.3106
TCGA-D9-A3Z3-06	0.0100	1.8067	-1.3876	-0.5429	0.2391	-0.7746	1.0918	0.2859	-1.0231	-0.4934	-0.3983	-0.0131	1.6661	0.6019	1.0089
TCGA-BF-A3DN-01	-0.2105	3.3368	1.6995	-0.6862	0.1320	1.0894	-0.0479	1.6075	1.0563	1.6689	-0.1986	-0.2221	0.3984	0.6369	-1.1791
TCGA-EE-A182-06	2.5195	-0.9206	-2.0793	0.4266	-0.3109	4.4854	-2.1966	-1.9278	-2.0864	-1.9542	-1.4238	-1.6381	-0.9979	-2.1398	-0.8377
TCGA-EB-A85I-01	1.0405	-0.0450	1.1684	-0.4923	1.1602	-1.3786	0.1186	-1.2835	1.1840	-0.9426	-1.6203	0.6674	-0.9897	-0.7788	-2.1434
TCGA-OD-A75X-06	0.2423	-0.5215	2.5033	-0.2203	-1.6021	0.3662	-0.3378	0.2959	1.8773	0.4226	2.5535	-0.0443	-0.8510	3.6763	0.4422
TCGA-D3-A8GR-06	-0.4274	0.3207	-2.3656	-1.2134	-0.7780	-0.4718	-0.2692	0.3654	-1.5238	-1.0158	-1.6452	-1.7396	2.2195	-1.1258	-1.2536
TCGA-D3-A8GP-06	0.0160	-0.3749	0.1965	-0.8832	-0.6800	-0.2820	0.7091	0.2586	-1.0926	0.3660	-0.1762	-0.9622	0.0167	-0.6822	0.4597
TCGA-FS-A4FD-06	0.8971	-2.1772	2.4525	-0.5161	-0.8848	-0.5977	-0.8598	2.8307	0.3390	-0.0865	5.2295	0.1761	-0.1601	-0.4702	0.7735
TCGA-W3-AA1V-06	-0.5719	-0.1854	2.3252	-0.4951	-1.0303	0.2869	-1.0803	0.9107	-0.9059	-1.5754	4.5426	-0.7723	-0.9537	0.4508	1.8914
TCGA-WE-AA9Y-06	-0.0483	-1.3954	0.0422	-0.7733	-0.2198	-0.9311	-0.5427	0.0527	-0.0068	1.0810	0.0428	-0.7617	-0.1854	-0.8462	0.2166
TCGA-EB-A5SF-01	7.1732	-1.7777	-2.3796	0.3419	-0.1901	-0.0988	-1.5088	-2.2954	-2.2065	-2.0309	-2.0048	-2.0359	-1.7350	-2.3352	0.4534
TCGA-D3-A2JA-06	-0.8609	-0.5987	-1.3400	-1.2076	-1.0163	-0.8690	8.6678	0.0997	-0.2087	-0.3698	1.0726	-0.3571	-0.6732	0.9486	-0.1673
TCGA-D3-A2JE-06	0.9291	-1.1524	1.8608	-0.4062	-0.6373	1.1457	0.9815	-0.8057	-0.9014	4.5451	1.2102	-0.2776	-0.6473	1.8458	2.6258
TCGA-EE-A2GM-06	0.5888	1.8384	-1.0506	-0.4911	-0.3359	1.0932	1.7480	1.2056	-0.2837	1.1392	1.0621	-1.0589	1.3131	0.1013	1.0102
TCGA-EE-A3J3-06	-0.4141	0.8074	1.7286	-0.2454	0.1777	0.1603	-1.0770	1.3970	0.9130	-0.3251	0.7913	-0.2924	-0.7413	-0.8454	0.5216
TCGA-FS-A1ZF-06	0.0317	-1.1273	-0.6359	-0.9122	0.6132	-0.1080	2.3852	0.6249	-0.6674	0.3384	0.7597	-0.9405	0.1427	0.4730	0.9463
TCGA-FS-A1ZE-06	-0.3600	-0.3230	3.3241	-0.0359	-0.0385	-0.9319	0.0562	-0.3840	0.9204	0.4101	-0.0518	0.7324	0.1917	0.0336	5.3515
TCGA-FS-A4F8-06	-0.0573	-1.1029	-0.5242	-0.2553	-0.3882	-0.7402	-0.6605	-0.6407	0.4293	-0.6150	-0.2566	0.8338	-0.0993	-0.7806	-0.7170
TCGA-D3-A8GC-06	0.1756	2.6331	0.9564	-1.0725	-1.3739	1.9927	0.7293	2.1878	0.7490	0.2638	-0.1362	0.4475	-1.0303	1.1814	5.9573
TCGA-YD-A9TA-06	-0.9058	-0.8063	0.9261	-0.1957	-1.1531	-0.0444	2.6387	-0.1294	0.7856	-0.2417	0.6910	2.0333	-0.6296	0.1555	1.0567
TCGA-EB-A5SG-06	-0.8139	0.3718	-0.3563	-1.2869	-0.9354	-0.4487	-0.0845	-0.4815	0.3778	0.4104	-0.4349	-0.5510	-0.4960	-0.1160	5.5046
TCGA-ER-A2NB-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
TCGA-D9-A1JW-06	0.2849	0.4008	-0.0769	0.9036	0.1998	0.4939	0.2524	-0.1970	-0.5382	-0.7615	-0.7909	-0.9373	0.1164	0.4630	0.0124
TCGA-EB-A5SH-06	4.4939	-1.6514	-1.8529	-0.2551	-1.4940	4.2885	0.6511	-1.7245	-2.0353	-1.2421	0.6358	-2.2377	-0.0952	0.5105	2.6461
TCGA-EB-A3XC-01	-1.2668	-0.3194	-0.2868	-0.2720	-0.5840	-0.6359	2.6999	-0.5796	-0.4920	-0.1042	-1.3300	0.1645	-0.5821	-1.2153	3.4760
TCGA-EE-A3J7-06	0.7649	1.2224	2.8459	-0.4848	-1.4621	-0.2999	-0.4051	1.5078	0.4898	1.0837	2.3935	-1.3263	-1.3228	-0.7280	3.1208
TCGA-EE-A2A6-06	1.1913	-0.8561	-0.4705	-0.2398	0.0956	-1.1545	0.9610	-0.2563	-0.6854	-0.3843	0.1582	-0.1927	0.5875	2.5791	1.5930
TCGA-DA-A95Y-06	-0.1329	-0.5658	-0.0290	0.3709	-0.0189	-0.6110	1.2576	-0.7112	-1.1108	-0.6175	-1.6687	-1.1192	-0.7490	-0.5039	0.5797
TCGA-WE-A8K4-01	-0.8866	1.2805	-1.6147	-1.2604	0.2767	-0.1971	1.4954	0.9144	-0.9871	-1.5102	-1.1558	-0.8417	0.3921	-0.5904	-0.9268
TCGA-EE-A2MC-06	0.6354	-0.5202	0.2764	0.2033	0.2896	-1.2526	-0.2256	0.5057	-0.2850	1.1807	0.6161	-0.1007	0.9590	0.3602	-0.1544
TCGA-D3-A1Q9-06	0.2187	1.4436	-0.0728	-0.8550	-0.0158	0.2550	-0.0481	0.6319	-0.7194	2.4259	-0.3266	0.5737	-0.6576	2.0346	0.1068
TCGA-BF-A3DJ-01	0.1819	0.2963	0.0258	-0.4243	-0.4792	-1.1956	-0.4060	0.2118	-0.0427	0.9345	1.6405	-0.7259	-0.5602	0.0486	-2.2464
TCGA-GN-A4U3-06	-0.6729	3.0120	1.8296	1.2299	-0.1143	-0.2085	2.5297	-0.6092	1.1834	0.8851	0.3236	-0.5881	0.0606	0.1957	-0.5081
TCGA-ER-A19A-06	-0.4442	0.1538	-0.9112	-1.0486	-0.3492	-0.5726	-1.4468	0.3257	0.1957	-0.6480	-0.3163	-0.0584	-0.4779	-0.5654	-0.7564
TCGA-EB-A85J-01	0.6779	-0.1721	0.0846	-0.0757	-0.7588	1.2827	-0.2160	-1.0798	-0.1356	-0.4657	0.0270	0.5715	0.1831	-0.2960	0.9541
TCGA-EE-A2A2-06	-0.7549	0.5731	3.9781	-0.0491	-1.1393	-0.0687	0.1109	0.4086	-0.2834	0.2540	2.3043	-0.7878	-0.2748	1.9077	1.4148
TCGA-D9-A6E9-06	0.1939	-0.7935	-1.2098	-0.4641	1.2275	1.1235	0.5111	-1.3664	-1.4424	-0.4621	-1.3381	-1.5967	-1.2493	-0.6446	2.4376
TCGA-EE-A29G-06	0.0590	-0.6547	0.3324	-0.5591	-0.6449	-0.9758	-0.8897	-0.5241	0.3695	-0.7386	0.3681	-0.2184	-0.8509	-0.6178	-0.4107
TCGA-HR-A5NC-01	0.8651	0.7105	-0.0040	0.0594	-0.7844	0.9653	0.9261	-0.2231	-0.2074	0.5289	0.6990	-0.9736	-1.1640	0.4070	0.1337
TCGA-GN-A4U4-06	-0.7521	-0.6948	0.7643	0.7038	0.0824	0.5484	0.5072	-1.4133	0.3783	0.4514	-0.4270	1.6686	0.6669	-0.2429	-0.7182
TCGA-FS-A1YX-06	0.3986	-0.1792	1.1257	0.0476	-0.6379	-0.0898	-0.9152	0.8094	-0.6981	0.6486	1.5864	0.7351	-1.1977	0.1142	-1.2307
TCGA-EB-A57M-01	1.9952	-1.0250	-0.9477	-0.8907	0.7481	1.7710	-0.8150	-0.9025	-1.1564	-0.8467	-0.7096	-1.3599	0.5968	-0.8608	0.9208
TCGA-BF-A1PX-01	1.0847	-0.1068	-0.7208	-0.1049	-0.0882	-0.7013	-0.5469	-1.5541	-0.3298	-0.5389	-0.9185	-0.9913	-0.7967	-0.0086	0.2212
TCGA-EE-A3JI-06	0.9762	0.7140	0.4938	0.4626	0.4220	0.7125	1.1801	-1.0168	0.8062	0.0224	-0.1278	-0.4908	1.0918	0.0883	-1.2704
