COMMON	ATG9A	BECN1	CUL4A	DDB1	DDB2	ERCC2	ERCC3	ERCC4	ERCC5	PIK3C3	PRKDC	XPA	XPC	XRCC5	XRCC6
TCGA-EB-A6QZ-01	0.1435	1.6386	-0.2128	0.0242	1.1924	-0.0242	1.5189	-0.7612	-0.5430	-1.0227	0.2467	0.5852	-0.5664	1.3881	1.4658
TCGA-EB-A6L9-06	-0.3520	-0.8841	-1.7029	0.1396	-0.9449	-0.1166	-1.2931	-1.9277	-1.3796	-1.6744	-0.2015	-0.9353	-1.1674	-1.6936	0.9613
TCGA-D3-A5GN-06	-0.3098	0.4826	-1.0786	-1.4152	-1.2344	-0.9737	4.0450	1.2690	-1.2466	1.5804	2.2621	-0.3475	-0.6282	1.8948	2.3336
TCGA-D3-A2JL-06	-0.2878	0.6502	-2.0830	-1.2625	-0.2515	-0.2128	-0.7474	-1.2121	-0.5160	-1.2332	-1.7575	-1.4237	-0.3624	-0.0013	0.5206
TCGA-EE-A2GU-06	0.0107	0.2660	1.5274	0.7716	-0.7423	-0.2015	-0.1246	-0.3321	1.3609	1.3900	0.9955	-0.0836	-0.3306	1.2657	0.3494
TCGA-EB-A5SE-01	-0.0613	-0.0523	0.5415	-0.6936	-0.4930	-0.4953	1.0567	0.2691	-0.9478	0.8336	0.7242	-0.1995	-0.6529	-0.3125	-0.3340
TCGA-GN-A265-06	-0.8059	0.1606	-0.5349	-1.0536	1.1942	-0.6683	-0.4403	-0.2413	1.4060	0.4745	1.5036	-0.7305	-0.2275	-0.4148	2.1582
TCGA-EB-A44O-01	-0.7728	-1.5794	5.3045	-0.8507	0.9598	0.1094	0.7870	1.1733	1.5557	0.4040	0.3139	0.1364	-0.2385	0.3089	-0.3404
TCGA-ER-A196-01	1.7249	-1.3904	1.0549	0.4542	-0.8514	-0.6805	-1.2934	-0.5178	-0.0431	0.6057	0.4159	-1.1559	-0.6991	0.4441	-0.2124
TCGA-GN-A262-06	1.1350	-1.0059	0.3461	-0.1141	-0.2771	0.8902	0.8415	-1.8615	0.0597	6.4110	-0.6651	-0.6011	-1.2815	1.3931	-0.1045
TCGA-FS-A1ZP-06	0.5419	-0.5886	0.9555	1.6181	-0.3269	-0.8775	-0.0666	1.8240	0.3027	0.5218	2.7444	0.6270	0.5388	2.3820	1.7179
TCGA-DA-A1I5-06	0.4042	-0.3271	-0.4548	-1.0062	-1.1901	-1.1154	0.3301	-1.1354	-0.9599	0.4099	-0.8721	-0.6283	-1.4043	0.1274	0.9294
TCGA-EB-A82B-01	0.9690	-0.5659	-1.6184	3.6149	2.9275	-0.3741	0.7204	-0.8522	-2.1472	-0.6948	0.3325	0.4026	-1.0030	-0.4928	4.2545
TCGA-GN-A4U8-06	-0.8410	-0.2368	-0.1485	-0.8938	0.1848	-0.5582	-0.8115	-0.9958	-0.0496	0.2796	-0.4873	2.8575	-0.3926	0.6631	-0.6773
TCGA-GN-A264-06	-0.4589	-0.2091	0.7265	-0.7193	-1.0631	-0.7625	0.6414	0.4288	-0.0847	0.7905	2.4156	-0.5214	2.3678	-0.5618	1.7665
TCGA-FS-A1ZN-01	-0.2584	0.0055	-0.6374	-0.3927	0.2672	-0.2885	0.3509	1.2078	-0.4773	0.0374	0.1192	0.9634	0.6226	1.6365	-0.5803
TCGA-EE-A20B-06	-1.0116	-0.1292	0.3577	-0.2825	0.0766	-0.3024	-1.2639	0.0800	0.0182	-0.9077	0.0157	-0.5725	1.4815	-1.1140	-0.7634
TCGA-EE-A2GB-06	0.4141	0.5709	1.6978	0.2837	0.9090	-0.5742	-0.4851	2.1998	0.7444	1.4791	0.6078	-0.6508	-0.4676	0.4762	1.8612
TCGA-EE-A20H-06	1.8278	-0.4766	0.9437	0.0141	-0.1371	-0.0061	1.3439	3.9443	0.7041	-0.0795	1.5016	-0.6060	-0.0277	0.9687	2.7638
TCGA-EE-A20I-06	1.7437	-0.0998	-1.4979	1.8808	-0.8443	2.2287	1.3241	-0.7861	-1.0951	-0.5972	-0.4591	-1.4539	-1.2337	1.6541	1.2282
